ID,GM Program,GM Percussion Note,Default MIDI Channel,Score Order,Allowed Clefs,Standard Clef,Transposition,Playable Range,Comfortable Range,Long Name,Short Name,Sibelius Name
wind.reed.saxophone.bass,,,,1.506,treble,treble,Bb1,,,Bass Saxophone,,
wind.reed.saxophone.contrabass,,,,1.507,treble,treble,Eb1,,,Contrabass Saxophone,,
wind.reed.saxophone.subcontrabass,,,,1.508,treble,treble,Bb0,,,Subcontrabass Saxophone,,
wind.reed.chalumeau,,,,1.6,treble,treble,C4,,,,,
wind.reed.clarinette-damour,,,,1.6,treble,treble,C4,,,,,
wind.reed.clarinet.piccolo.aflat,,,,1.601,treble,treble,Ab4,,,Piccolo Clarinet,,Piccolo Clarinet
wind.reed.clarinet.eflat,,,,1.61,treble,treble,Eb4,G3-Bb6,,Clarinet in Eb, ,Clarinet in Eb
wind.reed.clarinet,,,2,1.64,treble,treble,Bb3,,,Clarinet,,Clarinet
wind.reed.clarinet.bflat,72,,2,1.64,treble,treble,Bb3,D3-Eb6,,Clarinet in Bb,,Clarinet in Bb
wind.reed.clarinet.a,,,2,1.65,treble,treble,A3,,,Clarinet in A,,Clarinet in A
wind.reed.clarinet.alto,,,2,1.67,treble,treble,Eb3,,,Alto Clarinet,,Alto Clarinet
wind.reed.basset-horn,,,,1.68,treble,treble,F3,,,Basset Horn,,Basset Horn
wind.reed.clarinet.basset,,,2,1.68,treble,treble,F3,,,Basset Clarinet,,Basset Clarinet
wind.reed.clarinet.bass,,,,1.69,treble,treble,Bb2,D2-Eb5,,Bass Clarinet,,Bass Clarinet
wind.reed.clarinet.contra-alto,,,,1.694,treble,treble,Eb2,,,Contra-alto Clarinet,,Contra-alto Clarinet
wind.reed.clarinet.contrabass,,,,1.695,treble,treble,Bb1,,,Contrabass Clarinet,,Contrabass Clarinet
wind.reed.bassoon,71,,3,1.7,"treble,ten,bass",bass,C4,Bb1-D5,,Bassoon,,
wind.reed.contrabassoon,,,,1.75,"treble,ten,bass",bass,C3,Bb0-G5,,Contrabassoon,,
brass.alphorn,,,,2,treble,treble,C4,,,,,
brass.alto-horn,,,,2,treble,treble,Eb3,,,,,
brass.baritone-horn,,,,2,treble,treble,Bb2,,,,,
brass.bugle,,,,2,treble,treble,C4,,,,,
brass.bugle.alto,,,,2,treble,treble,C4,,,,,
brass.bugle.baritone,,,,2,treble,treble,C4,,,,,
brass.bugle.contrabass,,,,2,treble,bass,C4,,,,,
brass.bugle.euphonium-bugle,,,,2,treble,treble,C4,,,,,
brass.bugle.mellophone-bugle,,,,2,treble,treble,C4,,,,,
brass.bugle.soprano,,,,2,treble,treble,C4,,,,,
brass.cimbasso,,,,2,treble,treble,C4,,,,,
brass.conch-shell,,,,2,treble,treble,C4,,,,,
brass.didgeridoo,,,,2,treble,treble,C4,,,,,
brass.fiscorn,,,,2,treble,treble,C4,,,,,
brass.group,62,,,2,treble,treble,C4,,,,,
brass.group.synth,"63,64",,,2,treble,treble,C4,,,,,
brass.helicon,,,,2,treble,treble,C4,,,,,
brass.horagai,,,,2,treble,treble,C4,,,,,
brass.kuhlohorn,,,,2,treble,treble,C4,,,,,
brass.mellophone,,,,2,treble,treble,C4,,,,,
brass.natural-horn,,,,2,treble,treble,C4,,,,,
brass.ophicleide,,,,2,treble,treble,C4,,,,,
brass.posthorn,,,,2,treble,treble,C4,,,,,
brass.rag-dung,,,,2,treble,treble,C4,,,,,
brass.sackbutt,,,,2,treble,treble,C4,,,,,
brass.sackbutt.alto,,,,2,treble,treble,C4,,,,,
brass.sackbutt.bass,,,,2,treble,treble,C4,,,,,
brass.sackbutt.tenor,,,,2,treble,treble,C4,,,,,
brass.saxhorn,,,,2,treble,treble,C4,,,,,
brass.serpent,,,,2,treble,treble,C4,,,,,
brass.shofar,,,,2,treble,treble,C4,,,,,
brass.sousaphone,,,,2,treble,treble,C4,,,,,
brass.vienna-horn,,,,2,treble,treble,C4,,,,,
brass.vuvuzela,,,,2,treble,treble,C4,,,,,
brass.french-horn,61,,4,2.1,treble,treble,F3,C2-C5,,Horn,,Horn in F
brass.wagner-tuba,,,,2.15,bass,bass,C4,,,,,
brass.trumpet,"57,60",,5,2.2,treble,treble,Bb3,G3-Bb5,,Trumpet,,Trumpet in Bb
brass.trumpet.baroque,,,,2.2,treble,treble,Bb3,,,,,
brass.trumpet.pocket,,,,2.2,treble,treble,Bb3,,,,,
brass.trumpet.slide,,,,2.2,treble,treble,Bb3,,,,,
brass.trumpet.piccolo,,,,2.201,treble,treble,Bb4,,,Piccolo Trumpet,,
brass.trumpet.d,,,,2.21,treble,treble,D4,G3-Bb5,,Trumpet in D,,
brass.trumpet.c,,,,2.22,treble,treble,C4,G3-Bb5,,Trumpet in C,,
brass.trumpet.bflat,,,,2.23,treble,treble,Bb3,G3-Bb5,,Trumpet in Bb,,
brass.cornet,,,,2.24,treble,treble,Bb3,,,Cornet,,
brass.cornet.soprano,,,,2.24,treble,treble,Eb4,,,Soprano Cornet,,
brass.cornett,,,,2.24,treble,treble,C4,,,,,
brass.cornett.tenor,,,,2.24,treble,treble,C4,,,,,
brass.cornettino,,,,2.24,treble,treble,C4,,,,,
brass.flugelhorn,,,,2.24,treble,treble,Bb3,,,Flugelhorn,,
brass.trumpet.tenor,,,,2.28,treble,treble,Bb3,,,Tenor Trumpet,,
brass.trumpet.bass,,,,2.29,treble,treble,Eb3,,,Bass Trumpet,,
brass.trombone,58,,6,2.3,"ten,bass",bass,C4,E2-C5,,Trombone,,
brass.trombone.alto,,,,2.31,"alto,ten,bass",alto,C4,,,Alto Trombone,,
brass.trombone.tenor,,,,2.32,"ten,bass",bass,C4,E2-C5,,Trombone,,
brass.trombone.bass,,,,2.34,"ten,bass",bass,C4,E1-G4,,Bass Trombone,,
brass.trombone.contrabass,,,,2.35,"ten,bass",bass,C4,,,Contrabass Trombone,,
brass.euphonium,,,,2.401,treble,treble,C4,,,,,
brass.tuba,59,,7,2.41,bass,bass,C4,C2-A4,,Tuba,,
brass.tuba.bass,,,,2.41,bass,bass,C4,C2-A4,,Tuba,,
brass.tuba.subcontrabass,,,,2.42,bass,bass,C4,,,Subcontrabass Tuba,,
drum.timpani,48,,8,3,bass,bass,C4,C2-C4,,Timpani,,
drum.apentemma,,,,4,perc,perc,C4,,,,,
drum.ashiko,,,,4,perc,perc,C4,,,,,
drum.atabaque,,,,4,perc,perc,C4,,,,,
drum.atoke,,,,4,perc,perc,C4,,,,,
drum.atsimevu,,,,4,perc,perc,C4,,,,,
drum.axatse,,,,4,perc,perc,C4,,,,,
drum.bass-drum,,"35,36",,4,perc,perc,C4,,,,,
drum.bata,,,,4,perc,perc,C4,,,,,
drum.bata.itotele,,,,4,perc,perc,C4,,,,,
drum.bata.iya,,,,4,perc,perc,C4,,,,,
drum.bata.okonkolo,,,,4,perc,perc,C4,,,,,
drum.bendir,,,,4,perc,perc,C4,,,,,
drum.bodhran,,,,4,perc,perc,C4,,,,,
drum.bombo,,,,4,perc,perc,C4,,,,,
drum.bongo,,"60,61",,4,perc,perc,C4,,,,,
drum.bougarabou,,,,4,perc,perc,C4,,,,,
drum.buffalo-drum,,,,4,perc,perc,C4,,,,,
drum.cajon,,,,4,perc,perc,C4,,,,,
drum.chenda,,,,4,perc,perc,C4,,,,,
drum.chu-daiko,,,,4,perc,perc,C4,,,,,
drum.conga,,"62,63,64",,4,perc,perc,C4,,,,,
drum.cuica,,"78,79",,4,perc,perc,C4,,,,,
drum.dabakan,,,,4,perc,perc,C4,,,,,
drum.daff,,,,4,perc,perc,C4,,,,,
drum.dafli,,,,4,perc,perc,C4,,,,,
drum.daibyosi,,,,4,perc,perc,C4,,,,,
drum.damroo,,,,4,perc,perc,C4,,,,,
drum.darabuka,,,,4,perc,perc,C4,,,,,
drum.def,,,,4,perc,perc,C4,,,,,
drum.dhol,,,,4,perc,perc,C4,,,,,
drum.dholak,,,,4,perc,perc,C4,,,,,
drum.djembe,,,,4,perc,perc,C4,,,,,
drum.doira,,,,4,perc,perc,C4,,,,,
drum.dondo,,,,4,perc,perc,C4,,,,,
drum.doun-doun-ba,,,,4,perc,perc,C4,,,,,
drum.duff,,,,4,perc,perc,C4,,,,,
drum.dumbek,,,,4,perc,perc,C4,,,,,
drum.fontomfrom,,,,4,perc,perc,C4,,,,,
drum.frame-drum,,,,4,perc,perc,C4,,,,,
drum.frame-drum.arabian,,,,4,perc,perc,C4,,,,,
drum.geduk,,,,4,perc,perc,C4,,,,,
drum.ghatam,,,,4,perc,perc,C4,,,,,
drum.gome,,,,4,perc,perc,C4,,,,,
drum.group,,,,4,perc,perc,C4,,,,,
drum.group.chinese,,,,4,perc,perc,C4,,,,,
drum.group.ewe,,,,4,perc,perc,C4,,,,,
drum.group.indian,,,,4,perc,perc,C4,,,,,
drum.group.set,,,,4,perc,perc,C4,,,,,
drum.hand-drum,,,,4,perc,perc,C4,,,,,
drum.hira-daiko,,,,4,perc,perc,C4,,,,,
drum.ibo,,,,4,perc,perc,C4,,,,,
drum.igihumurizo,,,,4,perc,perc,C4,,,,,
drum.inyahura,,,,4,perc,perc,C4,,,,,
drum.ishakwe,,,,4,perc,perc,C4,,,,,
drum.jang-gu,,,,4,perc,perc,C4,,,,,
drum.kagan,,,,4,perc,perc,C4,,,,,
drum.kakko,,,,4,perc,perc,C4,,,,,
drum.kanjira,,,,4,perc,perc,C4,,,,,
drum.kendhang,,,,4,perc,perc,C4,,,,,
drum.kendhang.ageng,,,,4,perc,perc,C4,,,,,
drum.kendhang.ciblon,,,,4,perc,perc,C4,,,,,
drum.kenkeni,,,,4,perc,perc,C4,,,,,
drum.khol,,,,4,perc,perc,C4,,,,,
drum.kick-drum,,,,4,perc,perc,C4,,,,,
drum.kidi,,,,4,perc,perc,C4,,,,,
drum.ko-daiko,,,,4,perc,perc,C4,,,,,
drum.kpanlogo,,,,4,perc,perc,C4,,,,,
drum.kudum,,,,4,perc,perc,C4,,,,,
drum.lambeg,,,,4,perc,perc,C4,,,,,
drum.lion-drum,,,,4,perc,perc,C4,,,,,
drum.log-drum,,,,4,perc,perc,C4,,,,,
drum.log-drum.african,,,,4,perc,perc,C4,,,,,
drum.log-drum.native,,,,4,perc,perc,C4,,,,,
drum.log-drum.nigerian,,,,4,perc,perc,C4,,,,,
drum.madal,,,,4,perc,perc,C4,,,,,
drum.maddale,,,,4,perc,perc,C4,,,,,
drum.mridangam,,,,4,perc,perc,C4,,,,,
drum.naal,,,,4,perc,perc,C4,,,,,
drum.nagado-daiko,,,,4,perc,perc,C4,,,,,
drum.nagara,,,,4,perc,perc,C4,,,,,
drum.naqara,,,,4,perc,perc,C4,,,,,
drum.o-daiko,,,,4,perc,perc,C4,,,,,
drum.okawa,,,,4,perc,perc,C4,,,,,
drum.okedo-daiko,,,,4,perc,perc,C4,,,,,
drum.pahu-hula,,,,4,perc,perc,C4,,,,,
drum.pakhawaj,,,,4,perc,perc,C4,,,,,
drum.pandeiro,,,,4,perc,perc,C4,,,,,
drum.pandero,,,,4,perc,perc,C4,,,,,
drum.powwow,,,,4,perc,perc,C4,,,,,
drum.pueblo,,,,4,perc,perc,C4,,,,,
drum.repinique,,,,4,perc,perc,C4,,,,,
drum.riq,,,,4,perc,perc,C4,,,,,
drum.rototom,,,,4,perc,perc,C4,,,,,
drum.sabar,,,,4,perc,perc,C4,,,,,
drum.sakara,,,,4,perc,perc,C4,,,,,
drum.sampho,,,,4,perc,perc,C4,,,,,
drum.sangban,,,,4,perc,perc,C4,,,,,
drum.shime-daiko,,,,4,perc,perc,C4,,,,,
drum.slit-drum,,,,4,perc,perc,C4,,,,,
drum.slit-drum.krin,,,,4,perc,perc,C4,,,,,
drum.snare-drum,,"38,40,37",,4,perc,perc,C4,,,,,
drum.snare-drum.electric,,,,4,perc,perc,C4,,,,,
drum.sogo,,,,4,perc,perc,C4,,,,,
drum.surdo,,,,4,perc,perc,C4,,,,,
drum.tabla,,,,4,perc,perc,C4,,,,,
drum.tabla.bayan,,,,4,perc,perc,C4,,,,,
drum.tabla.dayan,,,,4,perc,perc,C4,,,,,
drum.taiko,117,,,4,perc,perc,C4,,,,,
drum.talking,,,,4,perc,perc,C4,,,,,
drum.tama,,,,4,perc,perc,C4,,,,,
drum.tamborita,,,,4,perc,perc,C4,,,,,
drum.tambourine,,54,,4,perc,perc,C4,,,,,
drum.tamte,,,,4,perc,perc,C4,,,,,
drum.tan-tan,,,,4,perc,perc,C4,,,,,
drum.tangku,,,,4,perc,perc,C4,,,,,
drum.taphon,,,,4,perc,perc,C4,,,,,
drum.tar,,,,4,perc,perc,C4,,,,,
drum.tasha,,,,4,perc,perc,C4,,,,,
drum.tenor-drum,,,,4,perc,perc,C4,,,,,
drum.teponaxtli,,,,4,perc,perc,C4,,,,,
drum.thavil,,,,4,perc,perc,C4,,,,,
drum.the-box,,,,4,perc,perc,C4,,,,,
drum.timbale,,"65,66",,4,perc,perc,C4,,,,,
drum.tinaja,,,,4,perc,perc,C4,,,,,
drum.toere,,,,4,perc,perc,C4,,,,,
drum.tom-tom,118,"41,43,45,47,48,50",,4,perc,perc,C4,,,,,
drum.tom-tom.synth,119,,,4,perc,perc,C4,,,,,
drum.tombak,,,,4,perc,perc,C4,,,,,
drum.tsuzumi,,,,4,perc,perc,C4,,,,,
drum.tumbak,,,,4,perc,perc,C4,,,,,
drum.uchiwa-daiko,,,,4,perc,perc,C4,,,,,
drum.udaku,,,,4,perc,perc,C4,,,,,
drum.udu,,,,4,perc,perc,C4,,,,,
drum.zarb,,,,4,perc,perc,C4,,,,,
effect.aeolian-harp,,,,4,perc,perc,C4,,,,,
effect.air-horn,,,,4,perc,perc,C4,,,,,
effect.applause,127,,,4,perc,perc,C4,,,,,
effect.bass-string-slap,,,,4,perc,perc,C4,,,,,
effect.bird,,,,4,perc,perc,C4,,,,,
effect.bird.nightingale,,,,4,perc,perc,C4,,,,,
effect.bird.tweet,124,,,4,perc,perc,C4,,,,,
effect.breath,122,,,4,perc,perc,C4,,,,,
effect.bubble,,,,4,perc,perc,C4,,,,,
effect.bullroarer,,,,4,perc,perc,C4,,,,,
effect.burst,,,,4,perc,perc,C4,,,,,
effect.car,,,,4,perc,perc,C4,,,,,
effect.car.crash,,,,4,perc,perc,C4,,,,,
effect.car.engine,,,,4,perc,perc,C4,,,,,
effect.car.pass,,,,4,perc,perc,C4,,,,,
effect.car.stop,,,,4,perc,perc,C4,,,,,
effect.crickets,,,,4,perc,perc,C4,,,,,
effect.dog,,,,4,perc,perc,C4,,,,,
effect.door.creak,,,,4,perc,perc,C4,,,,,
effect.door.slam,,,,4,perc,perc,C4,,,,,
effect.explosion,,,,4,perc,perc,C4,,,,,
effect.flute-key-click,,,,4,perc,perc,C4,,,,,
effect.footsteps,,,,4,perc,perc,C4,,,,,
effect.frogs,,,,4,perc,perc,C4,,,,,
effect.guitar-cutting,,,,4,perc,perc,C4,,,,,
effect.guitar-fret,121,,,4,perc,perc,C4,,,,,
effect.gunshot,128,,,4,perc,perc,C4,,,,,
effect.hand-clap,,39,,4,perc,perc,C4,,,,,
effect.heartbeat,,,,4,perc,perc,C4,,,,,
effect.helicopter,126,,,4,perc,perc,C4,,,,,
effect.high-q,,,,4,perc,perc,C4,,,,,
effect.horse-gallop,,,,4,perc,perc,C4,,,,,
effect.jet-plane,,,,4,perc,perc,C4,,,,,
effect.laser-gun,,,,4,perc,perc,C4,,,,,
effect.laugh,,,,4,perc,perc,C4,,,,,
effect.lions-roar,,,,4,perc,perc,C4,,,,,
effect.machine-gun,,,,4,perc,perc,C4,,,,,
effect.marching-machine,,,,4,perc,perc,C4,,,,,
effect.metronome-bell,,,,4,perc,perc,C4,,,,,
effect.metronome-click,,,,4,perc,perc,C4,,,,,
effect.pat,,,,4,perc,perc,C4,,,,,
effect.punch,,,,4,perc,perc,C4,,,,,
effect.rain,97,,,4,perc,perc,C4,,,,,
effect.scratch,,,,4,perc,perc,C4,,,,,
effect.scream,"56,98,99,100,101,102,103,104",,,4,perc,perc,C4,,,,,
effect.seashore,123,,,4,perc,perc,C4,,,,,
effect.siren,,,,4,perc,perc,C4,,,,,
effect.slap,,,,4,perc,perc,C4,,,,,
effect.snap,,,,4,perc,perc,C4,,,,,
effect.stamp,,,,4,perc,perc,C4,,,,,
effect.starship,,,,4,perc,perc,C4,,,,,
effect.stream,,,,4,perc,perc,C4,,,,,
effect.telephone-ring,125,,,4,perc,perc,C4,,,,,
effect.thunder,,,,4,perc,perc,C4,,,,,
effect.train,,,,4,perc,perc,C4,,,,,
effect.trash-can,,,,4,perc,perc,C4,,,,,
effect.whip,,,,4,perc,perc,C4,,,,,
effect.whistle,,"71,72",,4,perc,perc,C4,,,,,
effect.whistle.mouth-siren,,,,4,perc,perc,C4,,,,,
effect.whistle.police,,,,4,perc,perc,C4,,,,,
effect.whistle.slide,,,,4,perc,perc,C4,,,,,
effect.whistle.train,,,,4,perc,perc,C4,,,,,
effect.wind,,,,4,perc,perc,C4,,,,,
metal.adodo,,,,4,perc,perc,C4,,,,,
